"Source","Target","weight","r","sign","color"
"trstlgl","trstplc",0.318021200568064,0.318021200568064,"positive","#0000FF"
"trstlgl","trstplt",0.297649362031286,0.297649362031286,"positive","#0000FF"
"trstlgl","trstsci",0.335164555583172,0.335164555583172,"positive","#0000FF"
"trstlgl","ccrdprs",0.0602518323518163,0.0602518323518163,"positive","#0000FF"
"trstlgl","imwbcnt",0.106255646807221,0.106255646807221,"positive","#0000FF"
"trstlgl","rlgdgr",0.022116760625852,-0.022116760625852,"negative","#FF0000"
"trstplc","trstplt",0.181628559249217,0.181628559249217,"positive","#0000FF"
"trstplc","trstsci",0.148941362821235,0.148941362821235,"positive","#0000FF"
"trstplc","ccrdprs",0.0101549747919209,0.0101549747919209,"positive","#0000FF"
"trstplc","gincdif",0.0515881288291552,-0.0515881288291552,"negative","#FF0000"
"trstplc","lrscale",0.0256969849883817,0.0256969849883817,"positive","#0000FF"
"trstplt","trstsci",0.0857193580846554,0.0857193580846554,"positive","#0000FF"
"trstplt","ccrdprs",0.0159262570891046,0.0159262570891046,"positive","#0000FF"
"trstplt","imwbcnt",0.103164816304263,0.103164816304263,"positive","#0000FF"
"trstplt","rlgdgr",0.0819280258184074,0.0819280258184074,"positive","#0000FF"
"trstsci","ccrdprs",0.0804884366632023,0.0804884366632023,"positive","#0000FF"
"trstsci","lrscale",0.0300910967526357,-0.0300910967526357,"negative","#FF0000"
"trstsci","imwbcnt",0.0186144070303089,0.0186144070303089,"positive","#0000FF"
"trstsci","rlgdgr",0.146010984442074,-0.146010984442074,"negative","#FF0000"
"ccrdprs","gincdif",0.0677880049757005,0.0677880049757005,"positive","#0000FF"
"ccrdprs","lrscale",0.176402945343251,-0.176402945343251,"negative","#FF0000"
"ccrdprs","imwbcnt",0.105258149204216,0.105258149204216,"positive","#0000FF"
"ccrdprs","rlgdgr",0.050299120541631,0.050299120541631,"positive","#0000FF"
"gincdif","lrscale",0.278035509997825,-0.278035509997825,"negative","#FF0000"
"gincdif","imwbcnt",0.0931428633118925,0.0931428633118925,"positive","#0000FF"
"lrscale","imwbcnt",0.155974314205121,-0.155974314205121,"negative","#FF0000"
"lrscale","rlgdgr",0.0364026336267173,0.0364026336267173,"positive","#0000FF"
"imwbcnt","rlgdgr",0.0208744930246791,0.0208744930246791,"positive","#0000FF"
