"Id","label","degree","weighted_degree","betweenness","closeness","eigenvector","modularity_class","clustering_coefficient","Label"
"trstlgl","trstlgl",5,1.14523671188026,3,2.09811805584381,1,1,0.8,"trstlgl"
"trstplc","trstplc",8,1.24303986203769,8,2.2051913730754,0.995381934890518,1,0.607142857142857,"trstplc"
"trstplt","trstplt",5,0.599531820267765,1,2.0978930171183,0.354252305490996,2,0.9,"trstplt"
"trstsci","trstsci",4,0.649251422776563,0,1.45133455364056,0.626713668929421,1,0.666666666666667,"trstsci"
"ccrdprs","ccrdprs",7,0.471884997228532,9,2.28955398180578,0.308156911524324,2,0.666666666666667,"ccrdprs"
"gincdif","gincdif",4,0.301768510154056,7,1.90499021315988,0.133629486042914,2,0.666666666666667,"gincdif"
"lrscale","lrscale",6,0.639187359495827,4,2.13505806693933,0.26240648844535,2,0.733333333333333,"lrscale"
"imwbcnt","imwbcnt",7,0.792332866430705,4,2.25179478652799,0.279321815852194,2,0.666666666666667,"imwbcnt"
"rlgdgr","rlgdgr",4,0.510135471097394,0,1.58506042770453,0.242038722674956,2,1,"rlgdgr"
